"value","key","id","created_date","updated_date","created_by_id","is_sample"
"Petrucho Inc. занимается разработкой своего маркетплейса с уникальными товарами, включающими баркасы, карликовые абзационные триггеры, мерч, а также иные изделия, изготавливаемые непосредственно компанией.","marketplace.body","6a63140d8b64a48ee14cddb3","2026-07-24T07:28:13.072000","2026-07-24T07:28:13.072000","6a5e61c0d910a2f42a7ceb7e","false"
"...","marketplace.url","6a61f9d1ce559db5c61d30a3","2026-07-23T11:24:01.039000","2026-07-24T07:28:24.777000","6a5e61c0d910a2f42a7ceb7e","false"
"ПОДДЕРЖАТЬ КАРЛИКОВ","pricing.subtitle","6a6084ad77087b1516c45be2","2026-07-22T08:51:57.358000","2026-07-22T08:51:57.358000","6a5e61c0d910a2f42a7ceb7e","false"
"Полный доступ, эксклюзивы и голос в направлении. Ножки на онлифанс и доступ к бусти контенту.","pricing.tier10.desc","6a60849f05542a1ced474235","2026-07-22T08:51:43.840000","2026-07-22T08:51:43.840000","6a5e61c0d910a2f42a7ceb7e","false"
"Нойш","pricing.tier10.name","6a60848418dec833d7c3c102","2026-07-22T08:51:16.700000","2026-07-22T08:51:16.700000","6a5e61c0d910a2f42a7ceb7e","false"
"Синкрит","pricing.tier6.name","6a60845752a05dfe903d2b5c","2026-07-22T08:50:31.137000","2026-07-22T08:50:49.178000","6a5e61c0d910a2f42a7ceb7e","false"
"Синтет","pricing.tier3.name","6a6084401671cf6258601c2a","2026-07-22T08:50:08.315000","2026-07-22T08:50:34.542000","6a5e61c0d910a2f42a7ceb7e","false"
"#5e5c64","hero.title.color","6a5e6aec48be5bc65939a5a2","2026-07-20T18:37:32.085000","2026-07-24T12:33:52.334000","6a5e61c0d910a2f42a7ceb7e","false"
"#000000","hero.subtitle.color","6a5e6ad535baf562f07db482","2026-07-20T18:37:09.533000","2026-07-20T18:37:12.044000","6a5e61c0d910a2f42a7ceb7e","false"
"#ffffff","hero.brand.color","6a5e6ac7124b9eb4f5128788","2026-07-20T18:36:55.507000","2026-07-20T18:38:51.537000","6a5e61c0d910a2f42a7ceb7e","false"
"#e8e8e4","hero.text_color","6a5e69e9ac931af2d81fcfb5","2026-07-20T18:33:13.024000","2026-07-20T18:33:50.330000","6a5e61c0d910a2f42a7ceb7e","false"
"1","hero.blend","6a5e69e559ea6c14fa7b97c7","2026-07-20T18:33:09.377000","2026-07-20T18:39:00.531000","6a5e61c0d910a2f42a7ceb7e","false"
"shadow","hero.title_style","6a5e69d6158376219ff20b8b","2026-07-20T18:32:54.750000","2026-07-20T18:38:01.030000","6a5e61c0d910a2f42a7ceb7e","false"
"INC.","hero.brand","6a5e677f6315e7116bef1058","2026-07-20T18:22:55.824000","2026-07-20T18:22:55.824000","6a5e61c0d910a2f42a7ceb7e","false"
"Архив будет постоянно пополняться записями о трандисфуционной торговле.","manifest.p2","6a5e6677267c1cf896715730","2026-07-20T18:18:31.384000","2026-07-20T18:18:31.384000","6a5e61c0d910a2f42a7ceb7e","false"
"Сотрудничая со множеством дизельных ресурсов, корпорация стремится реализовать стальные баркасы в виде норвежских карликов — инкубационное устройство абзационной деятельности.","manifest.p1","6a5e664fb97436e751fbd4b2","2026-07-20T18:17:51.925000","2026-07-20T18:17:51.925000","6a5e61c0d910a2f42a7ceb7e","false"
"Стальные баркасы в виде норвежских карликов. Абзационный диспетчинг и эфирная мироторговля.","hero.subtitle","6a5e6622c3bd61ab0866907c","2026-07-20T18:17:06.668000","2026-07-20T18:17:06.668000","6a5e61c0d910a2f42a7ceb7e","false"
"https://plain-eeur-prod-public.komododecks.com/202607/20/lbtW3Ef6pSC1DMHzeRZg/image.jpg","hero.image_url","6a5e65ec7493c4295b2d5160","2026-07-20T18:16:12.681000","2026-07-24T09:22:02.001000","6a5e61c0d910a2f42a7ceb7e","false"
